index	word	lemma	posUni	posFine	morph	head	dep	_	coarse_dep
1	madem	madem	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	cc	_	cc
17	kulak	kulak	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	conj	_	conj
1	akıl	akıl	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
3	yüzü	yüz	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	4	nsubj	_	nsubj
1	cumhurbaşkanının	cumhurbaşkanı	NOUN	Noun	Case=Gen|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	3	nmod	_	nmod
3	tavrı	tavır	NOUN	Noun	Case=Acc|Number=Sing|Person=3	4	nsubj	_	nsubj
4	net	net	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
1	okulun	okul	NOUN	Noun	Case=Gen|Number=Sing|Person=3	3	nmod:poss	_	nmod
2	açılış	açılış	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	nmod:poss	_	nmod
3	törenine	tören	NOUN	Noun	Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	21	obl	_	obl
5	emniyet	emniyet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	compound	_	compound
6	müdürü	müdür	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	4	compound	_	compound
12	eğitim	eğitim	NOUN	Noun	Case=Nom|Number=Sing|Person=3	10	compound	_	compound
13	müdürü	müdür	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	10	compound	_	compound
2	makine	makine	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	obj	SpaceAfter=No	obj
5	makine	makine	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	conj	_	conj
7	şaka	şaka	NOUN	Noun	Case=Nom|Number=Sing|Person=3	13	obl	_	obl
8	maka	maka	NOUN	Noun	Case=Nom|Number=Sing|Person=3	7	compound:redup	_	compound
9	dükkan	dükkan	NOUN	Noun	Case=Nom|Number=Sing|Person=3	13	nsubj	SpaceAfter=No	nsubj
12	atölye	atölye	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	conj	_	conj
2	dakika	dakika	NOUN	Noun	Case=Nom|Number=Sing|Person=3	1	flat	_	flat
9	kelimesini	kelime	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	10	obj	_	obj
1	sesleri	ses	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=3	5	nsubj	_	nsubj
3	nefesleri	nefes	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=3	1	conj	_	conj
4	krizlerle	kriz	NOUN	Noun	Case=Ins|Number=Plur|Person=3	5	nmod	_	nmod
2	şeyin	şey	NOUN	Noun	Case=Gen|Number=Sing|Person=3	3	nmod:poss	_	nmod
3	isminin	isim	NOUN	Noun	Case=Gen|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	4	nmod:poss	_	nmod
4	önemi	önem	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	5	obj	_	obj
1	elinde	el	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	5	obl	_	obl
4	zarf	zarf	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	obj	_	obj
1	evet	evet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	SpaceAfter=No	root
5	şey	şey	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	compound	_	compound
4	sesleri	ses	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	5	nsubj	_	nsubj
3	celse	celse	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
2	şair	şair	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
4	televizyonların	televizyon	NOUN	Noun	Case=Gen|Number=Plur|Person=3	8	nmod:poss	_	nmod
6	efendi	efendi	NOUN	Noun	Case=Nom|Number=Sing|Person=3	8	nmod	_	nmod
7	yorumcu	yorumcu	NOUN	Noun	Case=Nom|Number=Sing|Person=3	8	nmod:poss	_	nmod
8	bozumcuları	bozumcu	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	10	nsubj	_	nsubj
1	sesi	ses	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	3	obj	_	obj
1	çitin	çit	NOUN	Noun	Case=Gen|Number=Sing|Person=3	2	nmod:poss	_	nmod
2	girişini	giriş	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	4	obj	_	obj
3	hızla	hız	NOUN	Noun	Case=Ins|Number=Sing|Person=3	4	obl	_	obl
5	çoban	çoban	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nsubj	SpaceAfter=No	nsubj
1	okul	okul	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	compound	_	compound
2	önlüğü	önlük	NOUN	Noun	Case=Acc|Number=Sing|Person=3	4	nsubj	_	nsubj
3	beline	bel	NOUN	Noun	Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	4	obl	_	obl
3	lodos	lodos	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod:poss	_	nmod
3	güven	güven	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
2	milletvekilleri	milletvekili	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=3	9	nsubj	_	nsubj
3	dün	dün	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod	_	nmod
4	akşam	akşam	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	obl	_	obl
5	devlet	devlet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	7	obl	_	obl
6	konukevi'nde	konukev	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	5	flat	_	flat
8	kokteylle	kokteyl	NOUN	Noun	Case=Ins|Number=Sing|Person=3	9	obl	_	obl
1	komutanlar	komutan	NOUN	Noun	Case=Nom|Number=Plur|Person=3	14	nsubj	SpaceAfter=No	nsubj
5	başbakan	başbakan	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	nmod:poss	_	nmod
